Text,Case_Folding,Cleaning_Text,Normalisasi_Text,Formalisasi_Text,Remove_Text,Stemming_Text,Tokenize_Text,Processed_Text,Polarity Score,Labels
MEMORI PEMILU 14 FEBRUARI 2024,memori pemilu 14 februari 2024,memori pemilu februari ,memori pemilu februari,memori pemilu februari,memori pemilu februari,memori pemilu februari,"['memori', 'pemilu', 'februari']",memori pemilu februari,0,Neutral
"pas sebelum pemilu udah paling heboh merasa paling cerdas paling pinter, paling riset dll, pas sudah pemilu merasa paling tersakiti, merasa paling di curang, siapah lagi kalo bukan pendukung 01 yang ga terima kekalahan
#anis #Pemilu2024 #AniesBaswedan #AMIN","pas sebelum pemilu udah paling heboh merasa paling cerdas paling pinter, paling riset dll, pas sudah pemilu merasa paling tersakiti, merasa paling di curang, siapah lagi kalo bukan pendukung 01 yang ga terima kekalahan
#anis #pemilu2024 #aniesbaswedan #amin",pas sebelum pemilu udah paling heboh merasa paling cerdas paling pinter paling riset dll pas sudah pemilu merasa paling tersakiti merasa paling di curang siapah lagi kalo bukan pendukung yang ga terima kekalahan    ,pas sebelum pemilu sudah paling heboh merasa paling cerdas paling pintar  paling riset dan lain pas sudah pemilu merasa paling tersakiti merasa paling di curang siapah lagi kalau  bukan pendukung yang tidak terima kekalahan,pas sebelum pemilu sudah paling heboh merasa paling cerdas paling pintar paling riset dan lain pas sudah pemilu merasa paling tersakiti merasa paling di curang siapah lagi kalau bukan pendukung yang tidak terima kekalahan,pemilu heboh cerdas pintar riset pemilu tersakiti curang siapah pendukung terima kekalahan,pemilu heboh cerdas pintar riset pemilu sakit curang siapah dukung terima kalah,"['pemilu', 'heboh', 'cerdas', 'pintar', 'riset', 'pemilu', 'sakit', 'curang', 'siapah', 'dukung', 'terima', 'kalah']",pemilu heboh cerdas pintar riset pemilu sakit curang siapah dukung terima kalah,-7,Negative
"Dalam rangka memastikan kelancaran proses pemilu Tahun 2024, Kapten Inf Sueb Danramil 08/Adipala beserta anggota melaksanakan tugas pengawalan dalam pergeseran logistik pemilu dari Panitia Pemilihan Suara (PPS) ke Panitia Pemungutan Suara (PPK), Kamis (15/02/2024).","dalam rangka memastikan kelancaran proses pemilu tahun 2024, kapten inf sueb danramil 08/adipala beserta anggota melaksanakan tugas pengawalan dalam pergeseran logistik pemilu dari panitia pemilihan suara (pps) ke panitia pemungutan suara (ppk), kamis (15/02/2024).",dalam rangka memastikan kelancaran proses pemilu tahun  kapten inf sueb danramil adipala beserta anggota melaksanakan tugas pengawalan dalam pergeseran logistik pemilu dari panitia pemilihan suara pps ke panitia pemungutan suara ppk  kamis   ,dalam rangka memastikan kelancaran proses pemilu tahun kapten inf sueb danramil adipala beserta anggota melaksanakan tugas pengawalan dalam pergeseran logistik pemilu dari panitia pemilihan suara pps ke panitia pemungutan suara ppk kamis,dalam rangka memastikan kelancaran proses pemilu tahun kapten inf sueb danramil adipala beserta anggota melaksanakan tugas pengawalan dalam pergeseran logistik pemilu dari panitia pemilihan suara pps ke panitia pemungutan suara ppk kamis,rangka kelancaran proses pemilu kapten inf sueb danramil adipala beserta anggota melaksanakan tugas pengawalan pergeseran logistik pemilu panitia pemilihan suara pps panitia pemungutan suara ppk kamis,rangka lancar proses pemilu kapten inf sueb danramil adipala serta anggota laksana tugas awal geser logistik pemilu panitia pilih suara pps panitia mungut suara ppk kamis,"['rangka', 'lancar', 'proses', 'pemilu', 'kapten', 'inf', 'sueb', 'danramil', 'adipala', 'serta', 'anggota', 'laksana', 'tugas', 'awal', 'geser', 'logistik', 'pemilu', 'panitia', 'pilih', 'suara', 'pps', 'panitia', 'mungut', 'suara', 'ppk', 'kamis']",rangka lancar proses pemilu kapten inf sueb danramil adipala serta anggota laksana tugas awal geser logistik pemilu panitia pilih suara pps panitia mungut suara ppk kamis,12,Positive
"Sebuah pernyataan, artinya dia tahu kecurangan terjadi di pemilu 2014,2019 dan 2024...","sebuah pernyataan, artinya dia tahu kecurangan terjadi di pemilu 2014,2019 dan 2024...",sebuah pernyataan artinya dia tahu kecurangan terjadi di pemilu  dan  ,sebuah pernyataan artinya dia tahu kecurangan terjadi di pemilu dan,sebuah pernyataan artinya dia tahu kecurangan terjadi di pemilu dan,pernyataan kecurangan pemilu,nyata curang pemilu,"['nyata', 'curang', 'pemilu']",nyata curang pemilu,-1,Negative
Sy pendukung setia PDI P.. Memohon spy PDIP harus oposisi di pemerintahan pemenang pemilu 2024.. Jgn lukai lagi pendukungmu..,sy pendukung setia pdi p.. memohon spy pdip harus oposisi di pemerintahan pemenang pemilu 2024.. jgn lukai lagi pendukungmu..,sy pendukung setia pdi p  memohon spy pdip harus oposisi di pemerintahan pemenang pemilu  jgn lukai lagi pendukungmu ,saya  pendukung setia pdi p memohon supaya  pdip harus oposisi di pemerintahan pemenang pemilu jangan lukai lagi pendukungmu,saya pendukung setia pdi p memohon supaya pdip harus oposisi di pemerintahan pemenang pemilu jangan lukai lagi pendukungmu,pendukung setia pdi memohon pdip oposisi pemerintahan pemenang pemilu lukai pendukungmu,dukung setia pdi mohon pdip oposisi perintah menang pemilu luka dukung,"['dukung', 'setia', 'pdi', 'mohon', 'pdip', 'oposisi', 'perintah', 'menang', 'pemilu', 'luka', 'dukung']",dukung setia pdi mohon pdip oposisi perintah menang pemilu luka dukung,2,Positive
Komeng Ungkap Behind The Scene Foto di Surat Suara Pemilu 2024: Orang KPU Aja Ketawa,komeng ungkap behind the scene foto di surat suara pemilu 2024: orang kpu aja ketawa,komeng ungkap behind the scene foto di surat suara pemilu  orang kpu aja ketawa,komeng ungkap behind the scene foto di surat suara pemilu orang kpu saja  tertawa ,komeng ungkap behind the scene foto di surat suara pemilu orang kpu saja tertawa,komeng behind scene foto surat suara pemilu orang tertawa,komeng behind scene foto surat suara pemilu orang tertawa,"['komeng', 'behind', 'scene', 'foto', 'surat', 'suara', 'pemilu', 'orang', 'tertawa']",komeng behind scene foto surat suara pemilu orang tertawa,10,Positive
Pemilu 2024 damai negeri maju #Pemilu2024 #PemiluDamai2024 #PemiluDamaiNegeriMaju #Pemilu2024BebasHoaks #Pemilu2024MenujuIndonesiaMaju,pemilu 2024 damai negeri maju #pemilu2024 #pemiludamai2024 #pemiludamainegerimaju #pemilu2024bebashoaks #pemilu2024menujuindonesiamaju,pemilu damai negeri maju     ,pemilu damai negeri maju,pemilu damai negeri maju,pemilu damai negeri maju,pemilu damai negeri maju,"['pemilu', 'damai', 'negeri', 'maju']",pemilu damai negeri maju,0,Neutral
"Anies dan Ganjar Temukan Dugaan Kecurangan yang Lebih Parah di Pemilu 2024, 'Kini Terancam Dituntut ke Mahkamah Konstitusi'","anies dan ganjar temukan dugaan kecurangan yang lebih parah di pemilu 2024, 'kini terancam dituntut ke mahkamah konstitusi'",anies dan ganjar temukan dugaan kecurangan yang lebih parah di pemilu  kini terancam dituntut ke mahkamah konstitusi ,anies dan ganjar temukan dugaan kecurangan yang lebih parah di pemilu kini terancam dituntut ke mahkamah konstitusi,anies dan ganjar temukan dugaan kecurangan yang lebih parah di pemilu kini terancam dituntut ke mahkamah konstitusi,anies ganjar temukan dugaan kecurangan parah pemilu terancam dituntut mahkamah konstitusi,anies ganjar temu duga curang parah pemilu ancam tuntut mahkamah konstitusi,"['anies', 'ganjar', 'temu', 'duga', 'curang', 'parah', 'pemilu', 'ancam', 'tuntut', 'mahkamah', 'konstitusi']",anies ganjar temu duga curang parah pemilu ancam tuntut mahkamah konstitusi,-10,Negative
Pemilu 2024 sukses dilaksanakan serentak #Pemilu2024 #PemiluDamai2024 #PemiluDamaiNegeriMaju #Pemilu2024BebasHoaks #Pemilu2024MenujuIndonesiaMaju,pemilu 2024 sukses dilaksanakan serentak #pemilu2024 #pemiludamai2024 #pemiludamainegerimaju #pemilu2024bebashoaks #pemilu2024menujuindonesiamaju,pemilu sukses dilaksanakan serentak     ,pemilu sukses dilaksanakan serentak,pemilu sukses dilaksanakan serentak,pemilu sukses dilaksanakan serentak,pemilu sukses laksana serentak,"['pemilu', 'sukses', 'laksana', 'serentak']",pemilu sukses laksana serentak,6,Positive
"Terimakasih Kepada Seluruh Masyarayakat atas Kerjasama yang baik, sehinggah pelaksanaan pemungutan suara pada Pemilu 2024  Aman,Damai dan Kondusif.

@humaspoldapapuabarat
@divisihumaspolri 
#polripresisi
#poldapapuabarathumanis
#poldapapuabaratpresisi
#humaspolrestamanokwari","terimakasih kepada seluruh masyarayakat atas kerjasama yang baik, sehinggah pelaksanaan pemungutan suara pada pemilu 2024  aman,damai dan kondusif.

@humaspoldapapuabarat
@divisihumaspolri 
#polripresisi
#poldapapuabarathumanis
#poldapapuabaratpresisi
#humaspolrestamanokwari",terimakasih kepada seluruh masyarayakat atas kerjasama yang baik sehinggah pelaksanaan pemungutan suara pada pemilu  aman damai dan kondusif        ,terimakasih kepada seluruh masyarayakat atas kerjasama yang baik sehinggah pelaksanaan pemungutan suara pada pemilu aman damai dan kondusif,terimakasih kepada seluruh masyarayakat atas kerjasama yang baik sehinggah pelaksanaan pemungutan suara pada pemilu aman damai dan kondusif,terimakasih masyarayakat kerjasama sehinggah pelaksanaan pemungutan suara pemilu aman damai kondusif,terimakasih masyarayakat kerjasama sehinggah laksana mungut suara pemilu aman damai kondusif,"['terimakasih', 'masyarayakat', 'kerjasama', 'sehinggah', 'laksana', 'mungut', 'suara', 'pemilu', 'aman', 'damai', 'kondusif']",terimakasih masyarayakat kerjasama sehinggah laksana mungut suara pemilu aman damai kondusif,8,Positive
"Polri Jamin Keamanan dalam Kesuksesan Penyelenggaraan Pemilu 2024 di Papua

#papuaindonesia #pemilupapua #pemilupapuadamai #Papuabangkit #papuadamai #Papuakondusif","polri jamin keamanan dalam kesuksesan penyelenggaraan pemilu 2024 di papua

#papuaindonesia #pemilupapua #pemilupapuadamai #papuabangkit #papuadamai #papuakondusif",polri jamin keamanan dalam kesuksesan penyelenggaraan pemilu di papua       ,polri jamin keamanan dalam kesuksesan penyelenggaraan pemilu di papua,polri jamin keamanan dalam kesuksesan penyelenggaraan pemilu di papua,polri jamin keamanan kesuksesan penyelenggaraan pemilu papua,polri jamin aman sukses selenggara pemilu papua,"['polri', 'jamin', 'aman', 'sukses', 'selenggara', 'pemilu', 'papua']",polri jamin aman sukses selenggara pemilu papua,1,Positive
"Majelis Adat Aceh Ajak Semua Pihak Kembali Bersatu Usai Pemilu 2024.
https://news.detik.com/berita/d-7195264/majelis-adat-aceh-ajak-semua-pihak-kembali-bersatu-usai-pemilu-2024…

@divisihumaspolri 
@spripim
.polri 
@spripim
.poldapapua","majelis adat aceh ajak semua pihak kembali bersatu usai pemilu 2024.
https://news.detik.com/berita/d-7195264/majelis-adat-aceh-ajak-semua-pihak-kembali-bersatu-usai-pemilu-2024…

@divisihumaspolri 
@spripim
.polri 
@spripim
.poldapapua",majelis adat aceh ajak semua pihak kembali bersatu usai pemilu  https  news detik com berita d majelis adat aceh ajak semua pihak kembali bersatu usai pemilu     polri   poldapapua,majelis adat aceh ajak semua pihak kembali bersatu usai pemilu https news detik com berita d majelis adat aceh ajak semua pihak kembali bersatu usai pemilu polri poldapapua,majelis adat aceh ajak semua pihak kembali bersatu usai pemilu https news detik com berita d majelis adat aceh ajak semua pihak kembali bersatu usai pemilu polri poldapapua,majelis adat aceh ajak bersatu pemilu https news detik berita majelis adat aceh ajak bersatu pemilu polri poldapapua,majelis adat aceh ajak satu pemilu https news detik berita majelis adat aceh ajak satu pemilu polri poldapapua,"['majelis', 'adat', 'aceh', 'ajak', 'satu', 'pemilu', 'https', 'news', 'detik', 'berita', 'majelis', 'adat', 'aceh', 'ajak', 'satu', 'pemilu', 'polri', 'poldapapua']",majelis adat aceh ajak satu pemilu https news detik berita majelis adat aceh ajak satu pemilu polri poldapapua,4,Positive
"Aparat Keamanan Selalu Siap Mengamankan Penyelenggaraan Pemilu 2024 di Papua

#papuaindonesia #pemilupapua #pemilupapuadamai #Papuabangkit #papuadamai #Papuakondusif","aparat keamanan selalu siap mengamankan penyelenggaraan pemilu 2024 di papua

#papuaindonesia #pemilupapua #pemilupapuadamai #papuabangkit #papuadamai #papuakondusif",aparat keamanan selalu siap mengamankan penyelenggaraan pemilu di papua       ,aparat keamanan selalu siap mengamankan penyelenggaraan pemilu di papua,aparat keamanan selalu siap mengamankan penyelenggaraan pemilu di papua,aparat keamanan mengamankan penyelenggaraan pemilu papua,aparat aman aman selenggara pemilu papua,"['aparat', 'aman', 'aman', 'selenggara', 'pemilu', 'papua']",aparat aman aman selenggara pemilu papua,0,Neutral
"Aparat Keamanan Berperankan Amankan Kesuksesan Penyelenggaraan Pemilu 2024 di Papua

#papuaindonesia #pemilupapua #pemilupapuadamai #Papuabangkit #papuadamai #Papuakondusif","aparat keamanan berperankan amankan kesuksesan penyelenggaraan pemilu 2024 di papua

#papuaindonesia #pemilupapua #pemilupapuadamai #papuabangkit #papuadamai #papuakondusif",aparat keamanan berperankan amankan kesuksesan penyelenggaraan pemilu di papua       ,aparat keamanan berperankan amankan kesuksesan penyelenggaraan pemilu di papua,aparat keamanan berperankan amankan kesuksesan penyelenggaraan pemilu di papua,aparat keamanan berperankan amankan kesuksesan penyelenggaraan pemilu papua,aparat aman peran aman sukses selenggara pemilu papua,"['aparat', 'aman', 'peran', 'aman', 'sukses', 'selenggara', 'pemilu', 'papua']",aparat aman peran aman sukses selenggara pemilu papua,3,Positive
"Aparat Keamanan Sang at Berpean dalam Kesuksesan Penyelenggaraan Pemilu 2024 di Papua

#papuaindonesia #pemilupapua #pemilupapuadamai #Papuabangkit #papuadamai #Papuakondusif","aparat keamanan sang at berpean dalam kesuksesan penyelenggaraan pemilu 2024 di papua

#papuaindonesia #pemilupapua #pemilupapuadamai #papuabangkit #papuadamai #papuakondusif",aparat keamanan sang at berpean dalam kesuksesan penyelenggaraan pemilu di papua       ,aparat keamanan sang at berpean dalam kesuksesan penyelenggaraan pemilu di papua,aparat keamanan sang at berpean dalam kesuksesan penyelenggaraan pemilu di papua,aparat keamanan sang berpean kesuksesan penyelenggaraan pemilu papua,aparat aman sang berpean sukses selenggara pemilu papua,"['aparat', 'aman', 'sang', 'berpean', 'sukses', 'selenggara', 'pemilu', 'papua']",aparat aman sang berpean sukses selenggara pemilu papua,3,Positive
"Patut diduga dilakukannya tindak pidana korupsi dalam pengadaan jasa pembuatan #SiRekap. 
@bpkri
, 
@ppatk
 & 
@KPK_RI
 harus segera lakukan pemeriksaannya!
Cc: 
@Kiyai_MarufAmin
 @PolhukamRI
 @BPKPgoid
 @TPNGanjarMahfud
#Hukum
#Pemilu2024
#Pilpres2024
#PemiluSerentak2024
#Indonesia
#NKRI","patut diduga dilakukannya tindak pidana korupsi dalam pengadaan jasa pembuatan #sirekap. 
@bpkri
, 
@ppatk
 & 
@kpk_ri
 harus segera lakukan pemeriksaannya!
cc: 
@kiyai_marufamin
 @polhukamri
 @bpkpgoid
 @tpnganjarmahfud
#hukum
#pemilu2024
#pilpres2024
#pemiluserentak2024
#indonesia
#nkri",patut diduga dilakukannya tindak pidana korupsi dalam pengadaan jasa pembuatan          harus segera lakukan pemeriksaannya cc             ,patut diduga dilakukannya tindak pidana korupsi dalam pengadaan jasa pembuatan harus segera lakukan pemeriksaannya cc,patut diduga dilakukannya tindak pidana korupsi dalam pengadaan jasa pembuatan harus segera lakukan pemeriksaannya cc,patut diduga dilakukannya tindak pidana korupsi pengadaan jasa pembuatan lakukan pemeriksaannya,patut duga laku tindak pidana korupsi ada jasa buat laku periksa,"['patut', 'duga', 'laku', 'tindak', 'pidana', 'korupsi', 'ada', 'jasa', 'buat', 'laku', 'periksa']",patut duga laku tindak pidana korupsi ada jasa buat laku periksa,5,Positive
